pl_name,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,st_mass,st_rad,st_teff,st_met
Kepler-1123 b,3.43,1.67,4.33946454,0.0497,0.93,0.9,5500.0,0.05
Kepler-940 b,11.1,3.34,59.6225257,0.3059,0.97,0.96,5769.0,-0.08
Kepler-1035 b,1.71,1.17,2.714077555,0.03883,0.98,0.97,5763.0,-0.03
Kepler-1027 b,0.64,0.89,1.907805199,0.02911,0.91,0.82,5436.0,-0.06
Kepler-986 b,6.17,2.36,56.4349938,0.29131,0.96,0.98,5642.0,0.04
Kepler-1011 b,8.6,2.87,5.753221974,0.0633,0.91,0.88,5416.0,0.08
Kepler-1068 b,12.8,3.63,16.92344113,0.13038,1.01,1.01,5806.0,0.03
Kepler-917 b,4.31,1.91,2.970414375,0.0378,0.8,0.76,5418.0,-0.38
Kepler-918 b,3.68,1.74,4.85386933,0.0569,1.11,1.14,6028.0,0.06
Kepler-978 b,9.22,2.99,49.6221509,0.2726,1.07,1.09,6002.0,-0.01
Kepler-1002 b,3.57,1.71,4.336429331,0.0564,1.22,1.57,6144.0,0.04
Kepler-493 b,,15.13,3.003876581,0.0439,1.36,1.54,6457.0,0.11
Kepler-1128 b,12.9,3.65,61.6178167,0.302,0.94,0.91,5543.0,0.04
Kepler-920 b,6.44,2.42,6.53192704,0.065,0.89,0.85,5403.0,0.0
Kepler-919 b,5.69,2.25,11.04603384,0.0981,1.15,1.21,6113.0,0.07
Kepler-921 b,8.6,2.87,51.300634,0.2716,0.93,0.91,5663.0,-0.12
Kepler-1015 b,12.3,3.55,16.00494214,0.1345,1.49,1.81,6769.0,0.06
Kepler-1005 b,2.86,1.5,6.49801525,0.06717,1.0,1.06,5782.0,0.02
Kepler-972 b,19.5,4.65,7.03932553,0.0734,1.15,1.22,6146.0,0.04
Kepler-1130 b,0.437,0.8,5.45298175,0.05963,0.9,0.81,5403.0,-0.06
Kepler-1131 b,3.15,1.59,3.53232449,0.0459,1.03,1.04,5851.0,0.05
Kepler-1025 b,4.58,1.98,37.3229493,0.21607,1.09,1.13,6089.0,-0.03
Kepler-497 b,30.4,6.04,3.573203671,0.0457,1.09,1.11,5834.0,0.24
Kepler-994 b,3.19,1.6,1.151166506,0.0177,0.56,0.54,3934.0,-0.13
Kepler-1132 b,6.12,2.35,62.8916228,0.2881,0.87,0.83,5298.0,-0.01
